trial_idx,unique_state_visited,turn_machine_on,num_steps,total_reward,num_questions,num_correct
0,11,True,32,0.0,4,2
1,9,True,32,0.0,4,1
2,10,True,32,0.0,4,1
3,7,True,32,0.0,4,3
4,12,True,32,0.0,4,1
5,10,True,32,0.0,4,2
6,11,True,32,0.0,4,1
7,8,True,32,0.0,4,3
8,8,False,32,0.0,4,2
9,7,True,32,0.0,4,0
10,10,True,32,0.0,4,3
11,12,True,32,0.0,4,0
12,8,True,32,0.0,4,1
13,8,True,32,0.0,4,1
14,10,True,32,0.0,4,2
15,10,True,32,0.0,4,1
16,9,True,32,0.0,4,1
17,11,True,32,0.0,4,1
18,10,True,32,0.0,4,1
19,11,True,32,0.0,4,3
20,8,True,32,0.0,4,2
21,11,True,32,0.0,4,3
22,11,True,32,0.0,4,3
23,11,True,32,0.0,4,2
24,10,True,32,0.0,4,3
25,7,True,32,0.0,4,1
26,11,True,32,0.0,4,1
27,10,True,32,0.0,4,3
28,11,True,32,0.0,4,1
29,10,True,32,0.0,4,2
30,11,True,32,0.0,4,2
31,8,True,32,0.0,4,3
