trial_idx,unique_state_visited,turn_machine_on,num_steps,total_reward,num_questions,num_correct,trial_duration
0,12,True,32,0.0,4,2,78.982099
1,7,True,32,0.0,4,4,61.697967
2,12,True,32,0.0,4,3,57.610808
3,13,True,32,0.0,4,3,62.147041
4,12,True,32,0.0,4,4,74.83097
5,10,True,32,0.0,4,4,74.754191
6,11,True,32,0.0,4,3,62.142831
7,11,True,32,0.0,4,4,66.068289
8,10,True,32,0.0,4,2,56.741187
9,10,True,32,0.0,4,2,59.323549
10,9,True,32,0.0,4,2,63.273083
11,10,True,32,0.0,4,4,61.664969
12,12,True,32,0.0,4,4,62.165839
13,12,True,32,0.0,4,3,89.400924
14,13,True,32,0.0,4,4,58.599404
15,12,True,32,0.0,4,2,64.03919
