[2025-02-28 11:42:32,716][__main__][INFO] - Current working directory: /home/anthony/Project/rl-scm-tests/blicket_text/exp_output/2025.02.28/114232/0
[2025-02-28 11:42:33,350][__main__][INFO] - Environment created: <env.blicket_text.BlicketTextEnv object at 0x7fcdc8db1190>, with 4 objects. Object names: ['object 0', 'object 1', 'object 2', 'object 3']. Blicket indices: [1, 3]
[2025-02-28 11:42:33,350][__main__][INFO] - Running agent <agent.normative_agent.NormativeAgent object at 0x7fcdc8daa650> for 128 trials...
[2025-02-28 11:42:33,350][__main__][INFO] - Starting trial 0...
[2025-02-28 11:42:33,454][__main__][INFO] - Trial 0 completed in 32 steps. Questions correct: 1/4
[2025-02-28 11:42:33,454][__main__][INFO] - Estimated cost so far: 0
[2025-02-28 11:42:33,454][__main__][INFO] - Starting trial 1...
[2025-02-28 11:42:33,552][__main__][INFO] - Trial 1 completed in 32 steps. Questions correct: 0/4
[2025-02-28 11:42:33,552][__main__][INFO] - Estimated cost so far: 0
[2025-02-28 11:42:33,552][__main__][INFO] - Starting trial 2...
[2025-02-28 11:42:33,650][__main__][INFO] - Trial 2 completed in 32 steps. Questions correct: 0/4
[2025-02-28 11:42:33,650][__main__][INFO] - Estimated cost so far: 0
[2025-02-28 11:42:33,650][__main__][INFO] - Starting trial 3...
[2025-02-28 11:42:33,747][__main__][INFO] - Trial 3 completed in 32 steps. Questions correct: 0/4
[2025-02-28 11:42:33,747][__main__][INFO] - Estimated cost so far: 0
[2025-02-28 11:42:33,747][__main__][INFO] - Starting trial 4...
[2025-02-28 11:42:33,845][__main__][INFO] - Trial 4 completed in 32 steps. Questions correct: 0/4
[2025-02-28 11:42:33,845][__main__][INFO] - Estimated cost so far: 0
[2025-02-28 11:42:33,845][__main__][INFO] - Starting trial 5...
[2025-02-28 11:42:33,942][__main__][INFO] - Trial 5 completed in 32 steps. Questions correct: 0/4
[2025-02-28 11:42:33,942][__main__][INFO] - Estimated cost so far: 0
[2025-02-28 11:42:33,942][__main__][INFO] - Starting trial 6...
[2025-02-28 11:42:34,041][__main__][INFO] - Trial 6 completed in 32 steps. Questions correct: 0/4
[2025-02-28 11:42:34,041][__main__][INFO] - Estimated cost so far: 0
[2025-02-28 11:42:34,041][__main__][INFO] - Starting trial 7...
[2025-02-28 11:42:34,138][__main__][INFO] - Trial 7 completed in 32 steps. Questions correct: 0/4
[2025-02-28 11:42:34,139][__main__][INFO] - Estimated cost so far: 0
[2025-02-28 11:42:34,139][__main__][INFO] - Starting trial 8...
[2025-02-28 11:42:34,237][__main__][INFO] - Trial 8 completed in 32 steps. Questions correct: 0/4
[2025-02-28 11:42:34,237][__main__][INFO] - Estimated cost so far: 0
[2025-02-28 11:42:34,237][__main__][INFO] - Starting trial 9...
[2025-02-28 11:42:34,336][__main__][INFO] - Trial 9 completed in 32 steps. Questions correct: 0/4
[2025-02-28 11:42:34,336][__main__][INFO] - Estimated cost so far: 0
[2025-02-28 11:42:34,336][__main__][INFO] - Starting trial 10...
[2025-02-28 11:42:34,434][__main__][INFO] - Trial 10 completed in 32 steps. Questions correct: 0/4
[2025-02-28 11:42:34,435][__main__][INFO] - Estimated cost so far: 0
[2025-02-28 11:42:34,435][__main__][INFO] - Starting trial 11...
[2025-02-28 11:42:34,534][__main__][INFO] - Trial 11 completed in 32 steps. Questions correct: 0/4
[2025-02-28 11:42:34,534][__main__][INFO] - Estimated cost so far: 0
[2025-02-28 11:42:34,534][__main__][INFO] - Starting trial 12...
[2025-02-28 11:42:34,632][__main__][INFO] - Trial 12 completed in 32 steps. Questions correct: 0/4
[2025-02-28 11:42:34,632][__main__][INFO] - Estimated cost so far: 0
[2025-02-28 11:42:34,632][__main__][INFO] - Starting trial 13...
[2025-02-28 11:42:34,730][__main__][INFO] - Trial 13 completed in 32 steps. Questions correct: 1/4
[2025-02-28 11:42:34,730][__main__][INFO] - Estimated cost so far: 0
[2025-02-28 11:42:34,730][__main__][INFO] - Starting trial 14...
[2025-02-28 11:42:34,829][__main__][INFO] - Trial 14 completed in 32 steps. Questions correct: 1/4
[2025-02-28 11:42:34,829][__main__][INFO] - Estimated cost so far: 0
[2025-02-28 11:42:34,829][__main__][INFO] - Starting trial 15...
[2025-02-28 11:42:34,928][__main__][INFO] - Trial 15 completed in 32 steps. Questions correct: 1/4
[2025-02-28 11:42:34,928][__main__][INFO] - Estimated cost so far: 0
[2025-02-28 11:42:34,928][__main__][INFO] - Starting trial 16...
[2025-02-28 11:42:35,027][__main__][INFO] - Trial 16 completed in 32 steps. Questions correct: 1/4
[2025-02-28 11:42:35,027][__main__][INFO] - Estimated cost so far: 0
[2025-02-28 11:42:35,027][__main__][INFO] - Starting trial 17...
[2025-02-28 11:42:35,127][__main__][INFO] - Trial 17 completed in 32 steps. Questions correct: 2/4
[2025-02-28 11:42:35,127][__main__][INFO] - Estimated cost so far: 0
[2025-02-28 11:42:35,127][__main__][INFO] - Starting trial 18...
[2025-02-28 11:42:35,226][__main__][INFO] - Trial 18 completed in 32 steps. Questions correct: 2/4
