user_id,true_rule,num_tests,step_when_n_reaches_1,never_reached_one,exited_early,exited_exact,exited_late,both_correct
6676ddf4aeae188a30f824f5,conjunctive,8,7,False,False,False,True,True
5e3f778e91be661ca60e3540,conjunctive,10,9,False,False,False,True,True
58d834cec207720001e2e750,conjunctive,13,7,False,False,False,True,True
66e641a57e7f41866f9e705f,conjunctive,12,4,False,False,False,True,True
6154973c69da7c97996a19f6,conjunctive,15,4,False,False,False,True,True
6100b6365a3b961d941f7071,conjunctive,5,,True,False,False,False,False
60fda57e0916dfe2157c9b00,conjunctive,16,5,False,False,False,True,False
5e63e793e50a6316a75213c4,conjunctive,16,6,False,False,False,True,False
5dac4dad5e53cc001499f1f6,conjunctive,8,4,False,False,False,True,True
66ac6629c0da194f918ca3fb,conjunctive,16,5,False,False,False,True,True
66444fab51653be6d035845e,conjunctive,6,5,False,False,False,True,True
5c50046b2b89f500015e5f6b,conjunctive,9,4,False,False,False,True,True
6655fd511b6c8d1fd05de12d,conjunctive,9,7,False,False,False,True,True
65cbe16e047f780198657d96,conjunctive,10,10,False,False,True,False,False
594a969df0ea1b0001558178,conjunctive,12,6,False,False,False,True,False
673bf98fb59b6d9e50a9080c,conjunctive,4,,True,False,False,False,False
667d08e12ac1bcbdd829a936,conjunctive,4,,True,False,False,False,False
60db3cf3270edd7c9c7e0bd3,conjunctive,9,3,False,False,False,True,True
66df530525ff636218e380bf,conjunctive,9,9,False,False,True,False,True
663911a7d0a58901bbe17704,conjunctive,12,10,False,False,False,True,True
67ab642b1885c553052f7e8a,conjunctive,1,,True,False,False,False,False
60bea43aa26919517334ed4a,conjunctive,8,4,False,False,False,True,True
6307bd3bb93e804d22332b3e,conjunctive,7,6,False,False,False,True,True
62a779f845a7840040d41bf8,conjunctive,8,5,False,False,False,True,True
6636e5ffb1e341fa2390a2c0,conjunctive,14,10,False,False,False,True,True
67005512302c242e2c34d34d,conjunctive,16,5,False,False,False,True,True
66464711c6986686ce7a99ec,conjunctive,11,10,False,False,False,True,True
677a9ad8c567199c95f2dc4c,conjunctive,1,,True,False,False,False,False
669acab688899abf41e03bb5,conjunctive,14,9,False,False,False,True,True
62740f4f578f0114e649016d,conjunctive,8,3,False,False,False,True,True
66de20cd48ec5f6eed0efb42,conjunctive,8,5,False,False,False,True,True
558955ebfdf99b6bd06016c9,conjunctive,15,4,False,False,False,True,True
664f96491b1f7c4bf98dfc87,conjunctive,6,,True,False,False,False,False
654e6dcbb060f1ea2d712339,conjunctive,16,8,False,False,False,True,True
6070fa4b22640f1d2b78c5a7,conjunctive,2,,True,False,False,False,False
65e8d07f6dee8323f49a2b5b,conjunctive,9,5,False,False,False,True,True
5c3bdbf548ad2900017fac31,conjunctive,4,,True,False,False,False,False
66d327f02e9e567850b49aee,conjunctive,5,,True,False,False,False,False
6637f53e203e2f5f706d70ec,conjunctive,8,8,False,False,True,False,True
661a38cd3b483dbdaafbf325,conjunctive,14,5,False,False,False,True,True
663a41265f6d1a3d681574c2,conjunctive,3,,True,False,False,False,False
63fcf26a814570a76bcf2237,conjunctive,11,5,False,False,False,True,True
6722cf4c8679d8fe777e4364,conjunctive,11,10,False,False,False,True,True
60b788ecd24b27bb39298936,conjunctive,15,10,False,False,False,True,True
62a0b34cbcc5987a8fa73c39,conjunctive,2,,True,False,False,False,False
66736b0ac390b463a383ffc5,conjunctive,12,8,False,False,False,True,False
610825355ae77bd1867d118e,conjunctive,10,10,False,False,True,False,True
66621dc2ec23614444716d2c,conjunctive,4,,True,False,False,False,False
62eab7b53494af2a6cb73504,conjunctive,16,8,False,False,False,True,True
5c04872c55614800012b7cf0,conjunctive,13,8,False,False,False,True,True
650a6d03acf66d20e752b42c,conjunctive,14,9,False,False,False,True,True
5e92917cb554e90d387a37da,disjunctive,5,5,False,False,True,False,True
63614a372fef8174fe8363f1,disjunctive,5,5,False,False,True,False,True
5d439cb393066e001a5a4d26,disjunctive,6,4,False,False,False,True,True
664cfc36d05e1ed37dd9f91e,disjunctive,3,3,False,False,True,False,True
611098e0196fa40fa49f3aeb,disjunctive,12,4,False,False,False,True,True
668ac4c1b3549e7f656154d4,disjunctive,4,4,False,False,True,False,True
6684bbcfad6facc374fd6523,disjunctive,7,6,False,False,False,True,True
62e42aaad0079d2ff8e97597,disjunctive,4,4,False,False,True,False,True
665a8db299aa3f8fb8ff8c4d,disjunctive,7,4,False,False,False,True,True
60a1e1f4a3707c983a98f185,disjunctive,16,4,False,False,False,True,True
5c452213a6c3df0001d2014f,disjunctive,8,4,False,False,False,True,True
589f4b4b4d580c0001e0a155,disjunctive,4,4,False,False,True,False,True
60fd05fdd8f4081c41972a1b,disjunctive,6,5,False,False,False,True,True
672edcfc36facd5b8d65d53d,disjunctive,5,4,False,False,False,True,False
677816a3469477f7f02c31c8,disjunctive,12,4,False,False,False,True,True
667b4043a7f74c3ff540a60d,disjunctive,4,4,False,False,True,False,True
5e3b759740e302397f294a2d,disjunctive,4,4,False,False,True,False,True
678557116f825dad357b623c,disjunctive,16,8,False,False,False,True,True
610863156133d1485b80d389,disjunctive,5,,True,False,False,False,False
65006ac193352f62ba59a095,disjunctive,4,4,False,False,True,False,True
61522983a596d0aa25117787,disjunctive,5,4,False,False,False,True,True
63b6ffb02943686f4f354741,disjunctive,12,11,False,False,False,True,True
609916ce82bc0800c9196cde,disjunctive,6,4,False,False,False,True,True
66ae0709d8dd8981a2d6ee04,disjunctive,6,5,False,False,False,True,True
6473bd2d95a488b826bc24c4,disjunctive,4,3,False,False,False,True,True
65da5ea53cf757c346ee5b18,disjunctive,7,6,False,False,False,True,True
66311cdfdc6a541751ee782a,disjunctive,8,6,False,False,False,True,True
6234e9c483c8aa1f1c5f046a,disjunctive,6,5,False,False,False,True,True
5ecb0bb39b4189656f60872b,disjunctive,5,4,False,False,False,True,True
66e0bc36ad31c37654af5fc8,disjunctive,4,4,False,False,True,False,True
655fd05c12d38751dfa91559,disjunctive,11,4,False,False,False,True,True
66ee186efc9a208ef9446a30,disjunctive,6,4,False,False,False,True,True
6452945d35a44481f5757a6c,disjunctive,6,4,False,False,False,True,True
6618650ff8e368f495675c9f,disjunctive,11,4,False,False,False,True,True
67c0af3cdbc67c93008f0616,disjunctive,6,5,False,False,False,True,True
667984ded209db9088acaf30,disjunctive,4,4,False,False,True,False,True
610329975d39376c37360d3c,disjunctive,6,4,False,False,False,True,True
662f98ee5dc1287d77d01750,disjunctive,5,4,False,False,False,True,False
672cb8ccdb8232e7fee580ed,disjunctive,5,4,False,False,False,True,True
5fa9dab94f9d9c26d3db5226,disjunctive,4,4,False,False,True,False,True
628eab48a8c8dc1ecec338dd,disjunctive,7,4,False,False,False,True,True
5bdc6d16d9bc4e0001134779,disjunctive,4,4,False,False,True,False,True
60ff33eea57872b7188f12e2,disjunctive,6,4,False,False,False,True,True
56e32190e414dc000c8b40ae,disjunctive,7,5,False,False,False,True,True
58380cb9f1faf8000129673a,disjunctive,10,7,False,False,False,True,True
67758b914f06b14a31669644,disjunctive,4,,True,False,False,False,True
6122548871de12f3a454e5cb,disjunctive,4,4,False,False,True,False,True
5f76586f6ce6850f223a25ab,disjunctive,4,4,False,False,True,False,True
60fcc292d13ae9614d4a77a7,disjunctive,5,4,False,False,False,True,True
63b6ef9027eb90f292852ee4,disjunctive,7,4,False,False,False,True,True
669abec15946546f5a97a5ff,disjunctive,4,4,False,False,True,False,True
